cell_id_source,cell_id_target
aacffgni-1,cphfmaof-1
aacfglmi-1,aaneibbj-1
aacfglmi-1,cphfgdbk-1
aachddil-1,cpjabokb-1
aachddil-1,cpjadjag-1
aachfofl-1,cpjadjlb-1
aachgloa-1,cpggalik-1
aachgloa-1,cpggdaoj-1
aaciefbo-1,cpjafdpa-1
aaciejlc-1,cpjaleoa-1
aaciejlc-1,cpjbdjmc-1
aacikepa-1,cpipammg-1
aacjdnhl-1,cohlnnep-1
aacjdnhl-1,cpdoinjh-1
aacjfkfm-1,cpiiajlf-1
aacjfkfm-1,cpiimmnp-1
aacjnpfi-1,cpinhigh-1
aackcojm-1,cpincjci-1
aackobko-1,cpijpgoj-1
aacldcjj-1,cpeeickg-1
aaclgfjc-1,coiedgjc-1
aacljkni-1,cohodhij-1
aacljkni-1,cohoibnk-1
aaclnkdl-1,coihmann-1
aacmfcmb-1,cohoaioc-1
aacmfcmb-1,cohocnjc-1
aacmjknf-1,coidlagj-1
aacmjknf-1,coidojhn-1
aacnfmbf-1,aanafich-1
aacocebm-1,coiedmoc-1
aacoclkm-1,cohpfjhf-1
aacoendf-1,aalkhkfk-1
aacohdgm-1,coibjbij-1
aacohdgm-1,coibmepf-1
aacooplj-1,coibpnil-1
aacpbhpo-1,coibekkn-1
aacpbook-1,coiaonai-1
aacpcfof-1,aakhdbbk-1
aacpcfof-1,cohppcjn-1
aacpcfof-1,coiaeibi-1
aacpeija-1,aakjlago-1
aacpeija-1,coiaihep-1
aacplfbp-1,aalkjfem-1
aacplfbp-1,aalkkali-1
aadafloe-1,cohpnpch-1
aadalkah-1,cikfdonj-1
aadalkah-1,cikgajgg-1
aadapmge-1,aakgmjic-1
aadapmge-1,aakhblah-1
aadapmge-1,aakhiobm-1
aadapmge-1,cikfmbeo-1
aadapmge-1,cikfnoab-1
aadapmge-1,coiapjeb-1
aadbdogj-1,cijpooia-1
aadbfhne-1,aalkionl-1
aadbiblo-1,cijpombo-1
aadbiblo-1,cikfojnj-1
aadbkjpc-1,aakkfoig-1
aadccfdk-1,aakkeafj-1
aadcgneh-1,cohpidkb-1
aadcnhac-1,cohoobpi-1
aadddlna-1,coiholpe-1
aaddkhdc-1,ciikppoh-1
aaddkhdc-1,ciilaeih-1
aaddmkhm-1,aakgmfeg-1
aaddmkhm-1,aakhibel-1
aaddmkhm-1,aakikljn-1
aaddpccf-1,cijakaof-1
aadejnjd-1,aakimgnk-1
aadelgfd-1,aakipglf-1
aadelgfd-1,ciikojmn-1
aadfcnfi-1,aakiofhk-1
aadfcnfi-1,aakipmcn-1
aadfcnfi-1,ciimdhlb-1
aadfkdjm-1,aakhpoip-1
aadfkmke-1,aakiebgf-1
aadfkmke-1,coibcfpb-1
aadfmgaf-1,aakkclpo-1
aadgbllp-1,ciikdanl-1
aadgjhnd-1,ciikmnfc-1
aadgjhnd-1,cohognjb-1
aadgodkb-1,aakhndgd-1
aadgokbd-1,ciimfehb-1
aadgokbd-1,ciimfnji-1
aadhabnc-1,aakiaeoe-1
aadhganh-1,cohnnkbk-1
aadhganh-1,cohnnkfa-1
aadjhnhc-1,aakipppp-1
aadjhnhc-1,cohoklon-1
aadjmnoa-1,cohnjiib-1
aadjnjld-1,coholfbd-1
aadjnoag-1,coihhdlb-1
aadjnoag-1,coijlpfo-1
aadknpcc-1,coiimmbb-1
aadlaobm-1,aakhndpn-1
aadlaobm-1,aamonhjm-1
aadlcfee-1,cijaopdn-1
aadlcfee-1,cijbalgf-1
aadlcfee-1,cijbbabg-1
aadleggd-1,cijbgghh-1
aadleggd-1,cijbhpba-1
aadleggd-1,cijcaifm-1
aadleibb-1,aampfcfn-1
aadlfnpi-1,cijahbec-1
aadlmkhi-1,aampfelo-1
aadlmkhi-1,cijaiacm-1
aadlomje-1,ciilpmfe-1
aadlpkeg-1,ciilfogk-1
aadmfohc-1,aamopoak-1
aadmfohc-1,ciilmdkl-1
aadmmlan-1,coiiigii-1
aadncanp-1,coifijfe-1
aadnlkib-1,coifllpp-1
aadnmhdl-1,cohnfbhm-1
aadnphmd-1,coiehjkd-1
aadoalnn-1,coiehega-1
aadodnjh-1,coiejjnf-1
aadpbfkg-1,cohmjbpc-1
aadpbfkg-1,cohmlhcd-1
aadphfna-1,odkalkmn-1
aaeccpan-1,cpdknlnf-1
aaecemki-1,cpdlbnki-1
aaecfcnk-1,cpibmejg-1
aaeclmkd-1,aamojgfe-1
aaeclmkd-1,cijbkamd-1
aaeddjji-1,cijacmgl-1
aaedmleh-1,cpibmicp-1
aaedmleh-1,cpiboddj-1
aaedncgd-1,cpdgfpah-1
aaeedgif-1,aamofbgj-1
aaeehnek-1,cpdkfing-1
aaeeofkd-1,coijdhek-1
aaeepcmn-1,coilcapl-1
aaeepcmn-1,cpdggdok-1
aaeepkmk-1,cpdgafpg-1
aaeepkmk-1,cpdgjebp-1
aaefmdgm-1,odkafdfk-1
aaegiidb-1,aalgaoga-1
aaegiidb-1,copdafal-1
aaegiidb-1,cpiafcap-1
aaegoecf-1,cijabfcd-1
aaehcela-1,copddphh-1
aaehcela-1,cpibhopf-1
aaehogic-1,copcpmki-1
aaehogic-1,copdaggb-1
aaehogic-1,copdjcio-1
aaehoibp-1,aadjaolk-1
aaehoibp-1,copfdopj-1
aaehoibp-1,copfolak-1
aaeialej-1,coojiecm-1
aaeialej-1,cpiacaga-1
aaeialej-1,cpibkabk-1
aaeiiand-1,aadjbokh-1
aaeiiand-1,coomblel-1
aaeiiand-1,coomgamb-1
aaeiiegk-1,coojmbcj-1
aaeijghm-1,cpibmdkk-1
aaejaoid-1,copblafd-1
aaejbgkn-1,copgloed-1
aaejlmca-1,copehcjp-1
aaejlmca-1,copfclbf-1
aaejmaed-1,copbffbo-1
aaekdlii-1,copehnac-1
aaekdlii-1,copfdhon-1
aaekebfp-1,cpdhajff-1
aaekebfp-1,cpdknikl-1
aaekhmnm-1,coiioknn-1
aaelbcbp-1,cpdhecne-1
aaelbcbp-1,cpdihfcm-1
aaelbcbp-1,cpicelll-1
aaelcfkl-1,cpdhdgnf-1
aaelcfkl-1,cpdkijoc-1
aaelfbck-1,cpdjmhgo-1
aaelfbck-1,cpdkmdni-1
aaelkgai-1,ciipjela-1
aaelkgai-1,ciipjflm-1
aaelkgai-1,ciipkpfk-1
aaelkgai-1,ciipohfp-1
aaelloib-1,aalgdpgp-1
aaelloib-1,ciinfhbg-1
aaemiigg-1,aalgjdgn-1
aaemlepi-1,ciipikch-1
aaenkdof-1,cphpmnoj-1
aaenkdof-1,cphppgcl-1
aaeogkmh-1,cpiaejli-1
aaeoiedi-1,ciiphopa-1
aafacjin-1,aancjldb-1
aafanhmj-1,coiffkmk-1
aafbfkpd-1,aanbomha-1
aafbjkbj-1,cohfbddc-1
aafbjkbj-1,coifcihm-1
aafbpnmf-1,aamnejfi-1
aafcggpj-1,aammgboo-1
aafcimlh-1,coifggoa-1
aafdefki-1,cohfdpck-1
aafdenbn-1,aamndpnm-1
aafdenbn-1,coimepdf-1
aafdenbn-1,coindbga-1
aafdglhp-1,coimalgf-1
aafdhelf-1,coikpfol-1
aafekbkn-1,coikdinl-1
aafennak-1,coijmnko-1
aaffbjch-1,coimcgeo-1
aaffbjch-1,cpdkpleb-1
aaffdoah-1,coilbdaa-1
aaffdoah-1,coilncle-1
aafgdlai-1,coikilmi-1
aafgdlai-1,coilgdbi-1
aafgeica-1,coimbigi-1
aafggico-1,coijlfbj-1
aafgjlbi-1,coikmhid-1
aafhdhjn-1,coihdhjn-1
aafhdhjn-1,coihkaem-1
aafhlbnb-1,coiklpge-1
aafhnaci-1,coikhgij-1
aafihped-1,coigomal-1
aafiokdg-1,coiggakf-1
aafjiccp-1,odkbealb-1
aafjkkec-1,cpeefcnh-1
aafkfbcg-1,coifldkp-1
aafkkfbg-1,coifnlka-1
aafkpaph-1,cpeefgbp-1
aaflbjfm-1,cpigidpb-1
aafmahpd-1,cpigmpok-1
aafmahpd-1,cpiiffpg-1
aafmahpd-1,cpiiogne-1
aafmdihi-1,cpiieiok-1
aafneooa-1,cpiflcgj-1
aafngjmm-1,cpiedifi-1
aafnpdki-1,cphlmdfe-1
aafoccfg-1,cphlpbkm-1
aafpfeon-1,cphmadlb-1
aafpfeon-1,cphmlkoj-1
aafpfeon-1,odkcmfml-1
aagakoad-1,cpgojafb-1
aagakoad-1,cpgolghd-1
aagbbbii-1,cphbdcec-1
aagbbbii-1,cphbdehd-1
aagbckkk-1,cpgpiapb-1
aagbibfb-1,cpgooecg-1
aagbibfb-1,cphmhdmi-1
aagbifme-1,cpgolfap-1
aagbifme-1,cpgopcbp-1
aagbifme-1,cphaeojj-1
aagbifme-1,cphaffil-1
aagbnfnk-1,comcdjig-1
aagcagmf-1,combnbed-1
aagcdfbk-1,cpgodgpm-1
aagceojk-1,cpieekoi-1
aagcofep-1,cpdlpkih-1
aagdfmlm-1,cpdlnckp-1
aagdfmlm-1,cpdlnjke-1
aagdfmlm-1,cpdmbghc-1
aagdkdgh-1,aammliok-1
aagdkdgh-1,cpdnnlbn-1
aagdldng-1,cpdndgkb-1
aagecich-1,cpdmecin-1
aagecich-1,cpdmlfnc-1
aagecich-1,cpdoflok-1
aagedbff-1,cpdmicag-1
aageppdc-1,cohapaid-1
aageppdc-1,cpdmogmj-1
aagfpjaj-1,cpdfoick-1
aagfpkbg-1,coimjaio-1
aagfpkbg-1,coimpaph-1
aaggdpdi-1,cpdjjdih-1
aaggdpdi-1,cpdlckca-1
aaggmolf-1,cpdipabg-1
aaghjeih-1,cphnkmgk-1
aaghjeih-1,cphnomoj-1
aaghmngg-1,cphoiaji-1
aagholej-1,cpdfinnh-1
aaghpeni-1,cpiccpha-1
aagihhep-1,cpicncaf-1
aagimjof-1,cpdfijan-1
aagimjof-1,cpdfjkkj-1
aagimjof-1,cpdhgobk-1
aagjccjc-1,cpdjdgeh-1
aagjelfn-1,cpdemkfh-1
aagjifhm-1,aanahajf-1
aagjifhm-1,cohlegaj-1
aagjipek-1,cohlifbp-1
aagjipek-1,cohlmmob-1
aagjipek-1,odjmbmic-1
aagjipek-1,odkafpdl-1
aagkbcki-1,aanaojnm-1
aagkbcki-1,cohlgkei-1
aagkcgck-1,cogkhihj-1
aagknmao-1,cpedmdki-1
aagladjl-1,cohigglp-1
aaglcnab-1,cohjhclh-1
aaglnkhj-1,cohlphno-1
aaglocca-1,aanahfpa-1
aagmkdnc-1,aamlaggm-1
aagmnpda-1,coglfklb-1
aagmohjp-1,cogkjndm-1
aagnaneo-1,cogkmkcd-1
aagnceki-1,cogldlga-1
aagndmil-1,cohfjdcn-1
aagoblhi-1,cohfdnnm-1
aagocieo-1,cohhaoog-1
aagogodg-1,cohglcld-1
aagohnkg-1,cohhacln-1
aagooojj-1,cohfnmjg-1
aagopchm-1,aanaomhf-1
aagpmbho-1,cohhkloh-1
aagpmppo-1,cohannhe-1
aagpmppo-1,cohdlhnb-1
aahaaojk-1,cohbfbpb-1
aahaaojk-1,cohbkfag-1
aahamenk-1,cogplopp-1
aahamenk-1,cohdohin-1
aahbdmnb-1,cohffjgo-1
aahbhhga-1,coheiejf-1
aahbipln-1,cohgnodh-1
aahbjhdo-1,aancopea-1
aahcjace-1,cogomjdn-1
aahcjace-1,cogplpac-1
aahcjace-1,cogpmcfc-1
aahcjace-1,cohjecce-1
aahcoiah-1,cohgenhn-1
aahdkfgk-1,cohfmnei-1
aahdkfgk-1,cpedlhbg-1
aahdnjml-1,cohhdkkk-1
aahdnjml-1,cohhgncd-1
aahdpbkj-1,cohbpihb-1
aahdpbkj-1,cohcemnn-1
aahdpbkj-1,cohcjchl-1
aahdpbkj-1,cohjehbb-1
aahefjpc-1,cpcnmhbp-1
aahefjpc-1,cpcoeddp-1
aahegnlb-1,cpipahnd-1
aahegnlb-1,odkddjie-1
aahegnoh-1,cpcmggkl-1
aahegnoh-1,cpcmlkij-1
aahejojh-1,cpjaioki-1
aahenbhb-1,cpiojhde-1
aahfbkel-1,cpikjeco-1
aahfbkel-1,cpipkjje-1
aahfdokp-1,cpdagjkm-1
aahgfgng-1,cpcpapil-1
aahgjgpa-1,cpiomook-1
aahgkhko-1,cpioeggl-1
aahgkhko-1,cpiofpbc-1
aahgkhko-1,cpiohcoi-1
aahgkhko-1,cpiojhhe-1
aahgkhko-1,cpiphjfi-1
aahgmjmn-1,cpjabjje-1
aahheomm-1,cpilipbg-1
aahhgmli-1,cpiliigb-1
aahhmeah-1,aaniiijo-1
aahhnjhf-1,cpjakkoa-1
aahifihh-1,cpdcmjkm-1
aahifihh-1,cpddaepe-1
aahijfla-1,cpdcippf-1
aahinemo-1,aampocfe-1
aahinemo-1,cpdbaapo-1
aahinemo-1,cpdpbbdj-1
aahjahme-1,cohkfpin-1
aahjahme-1,cohkpddo-1
aahjcfmd-1,cohkenjo-1
aahjcfmd-1,cpdceali-1
aahjdgcg-1,aamndimn-1
aahjdgcg-1,cphnpabc-1
aahjdgcg-1,cphpenjp-1
aahjegnd-1,cpddfcll-1
aahjegnd-1,cpiiajjp-1
aahjhgec-1,cpihndac-1
aahlghmd-1,cpdabmdd-1
aahmoeal-1,aamphmai-1
aahmoeal-1,cpeadjcg-1
aahnedfi-1,cpdakpfa-1
aahnedfi-1,cpdbglpg-1
aahnedfi-1,cpdcfdbb-1
aahngnle-1,aampjmkf-1
aahnidhl-1,cpdlijdp-1
aahnidhl-1,cpdnopli-1
aahnidhl-1,cpdoginb-1
aahokknh-1,cpdolgia-1
aahpaegf-1,cohjnhmj-1
aahpmkmk-1,cohjpjjo-1
aahpnaem-1,cpdolale-1
aaiadlno-1,cpjchpdb-1
aaiaecmc-1,cphlfkmp-1
aaiaecmc-1,cpjbgied-1
aaiaohpm-1,cpjbmmmf-1
aaiaohpm-1,cpjbnmkm-1
aaiaohpm-1,cpjcdaob-1
aaibdojc-1,cpijcnap-1
aaibhljc-1,cpigkdop-1
aaicieej-1,cpddobpm-1
aaicieej-1,cpdecefd-1
aaidbobe-1,cpddgfen-1
aaiebkmp-1,cphkodlo-1
aaiebkmp-1,cphlbbin-1
aaiekilf-1,cpinafgk-1
aaifmobe-1,cpikebgc-1
aaigfboo-1,copbodmd-1
aaigjdne-1,aamohpjd-1
aaigjdne-1,ciinejii-1
aaigjdne-1,ciinkmge-1
aaihifai-1,copbjoof-1
aaihknmc-1,aalhdceh-1
aaihknmc-1,aalhjlna-1
aaihknmc-1,ciipmhei-1
aaihknmc-1,ciipndoc-1
aaihnoaa-1,ciiohpgm-1
aaiiefbn-1,aalfeapp-1
aaiilbje-1,aalhhmom-1
aaiilbje-1,ciipakba-1
aaijoblo-1,cmbhmkld-1
aaijoblo-1,cmbiclfl-1
aaijpcje-1,cmbinkij-1
aaikdkom-1,cooocfle-1
aaikdkom-1,odjbhipg-1
aaikeodm-1,coonkkcf-1
aaikeodm-1,coookobb-1
aaikogdl-1,odjoalmc-1
aaikpine-1,cmbgmjnf-1
aaikpine-1,cmbhcedp-1
aailmdol-1,copcdfgl-1
aailmdol-1,odjockmj-1
aaimclhe-1,cophkdnh-1
aaimgoci-1,copgpeeh-1
aaimgoci-1,cophnmog-1
aaimijkn-1,copceido-1
aaimijkn-1,copceoke-1
aaimlhch-1,copcemdf-1
aaimlhch-1,copecmma-1
aaiokgcd-1,coopojol-1
aaioojnh-1,copbpkkg-1
aaipehaf-1,copdkjop-1
aaipehaf-1,copejlgg-1
aaipjjdb-1,cmcdndif-1
aaipjjdb-1,cmcfodod-1
aaipoooe-1,cmbjjdha-1
aaipphha-1,cmcaackd-1
aaipphha-1,cmcdhlpa-1
aaippjcl-1,cmcblpkg-1
aaippjcl-1,cmccaobo-1
aajacbkj-1,odjcckcb-1
aajainfm-1,cmcebgig-1
aajaonbm-1,cmcenefg-1
aajbeikc-1,cmbgojmi-1
aajbeikc-1,cmbjicol-1
aajbhjna-1,cmbfegal-1
aajbhjna-1,cmbfeolc-1
aajbhjna-1,cmccnlkm-1
aajbhjna-1,cmcdmpim-1
aajboklg-1,cmbffije-1
aajboklg-1,cmbjaijb-1
aajcbkap-1,cijjanlg-1
aajcbkap-1,cmccahne-1
aajcimcb-1,odhogfef-1
aajcmmkn-1,cihbggic-1
aajcmmkn-1,cihdabjc-1
aajcmmkn-1,cihdjdgj-1
aajdeeoo-1,cihdbkjl-1
aajdogmm-1,cigkmkcp-1
aajdpood-1,cmbmgbdd-1
aajdpood-1,cmbmkbhm-1
aajemhmi-1,cmbmlbfm-1
aajemhmi-1,cmbnkifc-1
aajfneaa-1,cmblehop-1
aajgpjcf-1,cmcaoklo-1
aajgpjcf-1,cmcbldha-1
aajhbaeo-1,cmbmiomj-1
aajhgeli-1,cmbmmaad-1
aajignle-1,cijlpili-1
aajilpoi-1,aakoogng-1
aajiphpc-1,aakondcp-1
aajkegdd-1,cijlnpea-1
